Famille,Catégorie,Type,Marque,Emplacement,Code LOCMAT,Nom,N° de Série,Qté,Prix d'achat,Valeur
AUDIOVISUEL,Accessoires,Accroche,,,19685B,Support de moniteur LCD pour trépied micro•K&M,,2,16.04,16.04
AUDIOVISUEL,Accessoires,Accroche,,Entrepôt 1 : F2,ARAKNO,"EUROMET•Support ""pieuvre"" VP pour tube diam 50 - max 2",,3,44.46,53.35
AUDIOVISUEL,Accessoires,Convertisseur,,Entrepôt 1 : F2,CONVHDMI/SDI,CONVERTISSEUR HDMI VERS SDI 6G,,4,162.89,179.0
AUDIOVISUEL,Accessoires,Convertisseur,,Entrepôt 1 : F2,CONVSDI/HDMI,CONVERTISSEUR 6G SDI VERS HDMI ,,6,162.89,179.0
AUDIOVISUEL,Accessoires,Distributeur,,Entrepôt 1 : F2,DISTRIHDMI1/2,Distributeur HDMI 1 In/2 Out,,5,39.99,39.99
AUDIOVISUEL,Accessoires,Distributeur,,Entrepôt 1 : F2,DISTRIHDMI1/4,Distributeur HDMI 1 In/4 Out,,2,188.0,188.0
AUDIOVISUEL,Accessoires,Distributeur,,Entrepôt 1 : F2,DISTRISDI1/8,DISTRIBUTEUR SDI SD/HD ET UHD,,2,262.99,280.0
AUDIOVISUEL,Accessoires,Distributeur,Smart View,Entrepôt 1 : F2,DISTRIVGA1/2,DISTRIBUTEUR VGA 1 IN/2 OUT 400MHZ SMART VIEW,,4,26.0,33.8
AUDIOVISUEL,Accessoires,Distributeur,Smart View,Entrepôt 1 : F2,DISTRIVGA1/4,DISTRIBUTEUR VGA1IN/4 OUT 400MHZ SMART VIEW,,2,76.0,79.0
AUDIOVISUEL,Accessoires,Extender,Muxlab,Entrepôt 1 : F2,HDMI/RJ45,MUXLAB•Kit Extender hdmi/rj45 100m émetteur + récepteur,,1,332.06,353.25
